Solar,Wind,Consumption Total
0.003367,100.514277,4614.205935
0.002403,108.01827,4672.512797
0.003026,116.932262,4855.93964
0.003113,127.369264,5376.073055
0.006291,144.360261,5935.04706
0.004305,140.590259,6187.330053
0.004783,114.424259,6187.407372
0.064759,89.763258,6114.911149
0.185424,90.627261,6017.501516
0.221742,79.83026,5933.962557
0.145724,59.367256,5897.541792
0.034281,48.347265,5919.300277
0.001861,46.748265,6058.450935
0.001394,44.008264,6192.574303
0.001985,35.901264,6116.141055
0.001121,41.851,6013.502185
0.005893,33.426,5915.576206
0.000865,20.276,5835.945104
0.000913,12.196,5692.029287
0.000481,7.71,5456.584904
4.3e-05,2.632,5203.618573
0.006006,3.92,4965.484655
0.001014,1.444,4838.95444
0.00134,0.436,4764.263836
0.000741,0.12,4775.547229
0.001608,0.658,4769.799447
0.005953,7.627,4923.643133
0.001882,59.051257,5446.649608
0.001192,88.488262,6035.080078
0.002667,113.088261,6275.872121
0.003305,121.372264,6275.851528
0.054101,155.19427,6227.026689
0.219832,149.278268,6144.276572
0.305892,155.832272,6048.393686
0.228042,166.903267,5967.958141
0.036169,177.012269,5952.90472
0.00179,179.374268,6060.166352
0.007269,192.058267,6234.200717
0.002595,195.61927,6176.156386
0.0037,195.913272,6080.155151
0.001548,197.461274,6000.854698
0.003768,196.490276,5911.063332
0.003905,189.132269,5779.757924
0.00525,186.485268,5596.731072
0.004322,176.849271,5364.266175
0.008321,174.193271,5205.754913
0.00307,160.958274,5102.091047
0.003258,175.999274,5027.335923
0.004667,177.638272,5052.606349
0.003053,178.914269,5116.905954
0.004098,175.508265,5315.19221
0.006397,162.259261,5881.607214
0.004958,108.875255,6430.927194
0.002641,96.220262,6498.732206
0.006133,117.589262,6481.353005
0.082809,143.727258,6424.574974
0.243173,100.420257,6341.709122
0.304041,61.20726,6240.796006
0.255504,47.455262,6146.729917
0.075408,28.883259,6220.144278
0.004006,12.385258,6292.421442
0.00822,5.833258,6492.203554
0.003264,33.993262,6484.444971
0.00282,35.093264,6396.728442
0.003652,27.208263,6318.753292
0.006777,27.320265,6244.849842
0.003541,30.743266,6192.806318
0.003906,22.860266,6154.569628
0.004017,20.197269,5957.833979
0.006578,24.255269,5737.980322
0.002909,19.747267,5595.170546
0.003256,22.643268,5528.146873
0.004547,32.020269,5491.435344
0.007807,49.485271,5510.070393
0.003455,62.510263,5676.513899
0.003957,57.787262,6165.317407
0.003604,83.417263,6729.976822
0.002895,128.565272,6968.990364
0.010826,175.361275,6958.035818
0.030057,185.629273,6909.8456
0.005019,188.511273,6842.235108
0.002791,188.716274,6770.837857
0.002692,182.546276,6713.597301
0.007734,183.256277,6651.076757
0.003054,184.68928,6559.751247
0.002392,173.828273,6467.53558
0.004037,157.401273,6354.753219
